NOOF	NART
01046319	685979-37A
01046328	689865A00
01046329	691671B00
01046332	692632A00
01046334	695553B00
01046337	8299040001
01046340	P01103069
01046345	P01120333A
01046351	685300A76B
01046358	ST SAFT
01046359	359900-25
01046363	L300280-1500
01046370	L969748-002
01046371	L969748-001
01046373	N04297A00
01046374	N04298A00
01046393	684658B63A
01046399	696073A00
01046418	P01140836
01046420	P01102204B
01046422	P01140824
01046423	P01140824
01046425	P01140826A
01046429	P01140836A
01046433	P01145460C
01046436	P01160511
01046444	P01160591
01046448	P01160595
01046453	P01651904
01046457	P01654110
01046463	P01654822
01046477	P01379631
01046481	693351A00
01046515	P01139715
01046524	696607A00
01046545	X04484B01
01046571	577901A01
01046604	LEL2676-000
01046615	N03359A03
01046616	X03646F00
01046624	L860530-001
01046633	Y00051A00
01046636	680516-48
01046641	693015A00
01046654	L860624-001
01046660	P01160620
01046664	P01126502A
01046676	N03118A00
01046677	P01103063
01046679	P01120305
01046681	P01120317
01046695	X03738A00
01046697	577901A01
01046699	686385-76B
01046713	694351F01
01046715	N01848D00
01046717	688780P01
01046773	P01139711
01046775	687450B00
01046776	577901A01
01046783	P01331050
01046786	DSTS-CFG
01046800	L958994-001
01046801	LEL1884-000
01046811	TRIAD2-CFG
01046814	TRIAD2-CFG
01046815	689099F00
01046816	TRIAD2-CFG
01046818	691484F00
01046819	693936E00
01046822	X04580B00
01046867	ERLC4155
01046923	696347A00
01046938	2030166
01046966	L037830-020
01046969	PCV-CFG
01046973	P01140822A
01046976	Y00096A00
01046977	Y00205A00
01046978	Y00207A00
01046979	Y00527C00
01046980	Y00530A00
01046982	Y00566B00
01046983	Y00566B01
01046984	Y00566B02
01046985	Y00566B03
01046986	Y00566B04
01046987	Y00566B05
01046988	Y00566B06
01046989	Y00566B07
01046990	Y00566B08
01046991	Y00566B09
01046992	Y00566B10
01046993	Y00566B11
01046994	Y00566B12
01046995	Y00566B13
01046996	Y00566B14
01046997	Y00566B15
01046998	Y00566B17
01046999	Y00566B18
01047000	Y00566B19
01047001	Y00568A00
01047017	X02796A00
01047019	692190A00
01047057	JD0141
01047059	N01567A02
01047066	L860624-001
01047099	TRAVAUXINTE~1
01047107	687336-96C
01047109	693347B00
01047110	693349D00
01047112	01NC9968D2
01047117	TRIAD2-CFG
01047121	10489596
01047141	10820625C
01047142	01NC3989NE
01047144	P01120577B
01047146	A90V0589
01047160	LM31092-001
01047163	ID50-CFG
01047167	L969514-001
01047175	00301260
01047186	LXF-QSOUD019
01047187	LXF-QSOUD035
01047189	LXF-QSOUD130
01047192	LXF-QSOUD134
01047214	01NC9968D2
01047217	01NC9965HD
01047218	01NC9966N31
01047219	01NC9969A
01047220	01NC9965HD
01047221	01NC9966N31
01047222	01NC9969A
01047223	01NC9965HD
01047224	01NC9966N21
01047225	01NC9969A
01047250	01NC4959
01047258	684658B63A
01047259	695669A00
01047260	P01165222
01047264	681891-94
01047275	684620-51
01047277	P01120452
01047278	686385-05
01047281	689885A02
01047289	S1-CFG
01047293	P01120555C
01047327	695692B01
01047345	668182-10
01047346	SH1250N-CFG
01047348	SH1250N-CFG
01047349	N00935A00
01047350	N00935A00
01047351	29250119
01047363	01NC9966N11
01047364	691382A01
01047365	X01621A96A
01047384	C90S1406
01047385	P310
01047388	IA-NE90ADC
01047390	685283-40B
01047392	685283-40E
01047398	L330199-031
01047397	29013325
01047399	29013330
01047404	P01126501A
01047420	LM36032-001
01047424	L339299-013
01047427	L300160-1000
01047428	L300160-500
01047431	TRAVAUXINTE~1
01047433	ST AD
01047437	STH407918C
01047438	PRESTQUALITE
01047439	688788A06
01047447	TRAVAUXINTE~1
01047448	TRAVAUXINTE~1
01047450	TRAVAUXINTE~1
01047452	TRAVAUXINTE~1
01047468	687336-96C
01047469	688244G08
01047475	692766B00
01047476	TR-TRI500
01047477	TR-TRI500
01047478	TR-TRI500
01047484	SHUN1107
01047485	SHUN1210
01047486	SHUN1219
01047487	SHUN1222
01047488	2313047
01047490	P01139712A
01047492	EMBB4003
01047494	01NC9965D
01047495	01NC9965D
01047498	TRAVAUXINTE~1
01047503	TRAVAUXINTE~1
01047504	TRAVAUXINTE~1
01047507	PAR-CFG
01047510	01NC3989PN
01047512	01NC3989PN
01047513	01NC3989PN
01047514	01NC3989PN
01047515	01NC3989PN
01047539	L966452-001
01047540	L966452-001
01047542	TRAVAUXINTE~1
01047543	TRAVAUXINTE~1
01047547	TRAVAUXINTE~1
01047545	PROTO-CARTE
01047550	TRAVAUXINTE~1
01047551	TRAVAUXINTE~1
01047553	693934D00
01047554	693938C00
01047556	TRAVAUXINTE~1
01047568	TRAVAUXINTE~1
01047571	TRAVAUXINTE~1
01047572	TRAVAUXINTE~1
01047573	TRAVAUXINTE~1
01047593	PROTO-CARTE
01047596	N03760A00
01047601	LNT6002-999
01047609	P01120571
01047613	IA-NEPUIS
01047614	IA-NE90VAC1
01047615	IA-NE90ADC
01047616	29250114
01047617	IA-NE90ADC
01047618	N04232A02
01047619	Y00566B16
01047641	P01102187
01047646	TRAVAUXINTE~1
01047652	TRAVAUXINTE~1
01047654	10820236
01047657	TRAVAUXINTE~1
01047661	TRAVAUXINTE~1
01047665	TRAVAUXINTE~1
01047674	P01456171
01047692	P01456174
01047694	P01456178
01047695	P01456193
01047696	P01464813
01047698	P01466143
01047699	P01466144
01047709	29010361
01047714	01NC4563
01047727	01NC9965HD
01047728	01NC9966N31
01047731	01NC9969A
01047732	01NC9966N1
01047741	01NC9966N11
01047742	01NC9966N1
01047743	01NC9969A
01047746	01NC9966N11
01047752	2307213
01047754	358031J51
01047761	686684-63A
01047764	691514D00
01047769	L969097-999
01047774	F-OKB
01047776	IA-NE90ADC
01047780	TRI57827
01047781	TRI57831
01047787	N00644A00
01047789	N03023A00
01047807	544073-90
01047825	692631A00
01047829	8299040001
01047837	LEL0468-000
01047839	L014021-000
01047840	N00689A00
01047841	N02718A00
01047842	N04231A00
01047845	005980-19
01047846	006005-62
01047847	358067G57
01047849	544059-19
01047850	578047A00
01047852	623253-51
01047853	670272C57
01047854	677216-51
01047855	677861-19
01047856	684415A00
01047857	684620-51
01047858	687327A51A
01047861	691565A06
01047862	691660A00
01047864	692925A00
01047866	694975A01
01047878	P01103058Z
01047895	P01140822
01047896	P01140822
01047899	P01140824
01047901	P01140826
01047906	P01140834
01047909	P01140836
01047933	01NC9980
01047935	01NC9980
01047945	LNT1100-999
01047951	P01120612
01047954	577304-04A
01047962	ID50-CFG
01047963	L968999-001
01047964	ID50-CFG
01047965	694143A00
01047966	ID50-CFG
01047970	P01126506B
01047981	693809C00
01047993	691481L00
01048001	N04267A00
01048002	L860353-006
01048017	L335299-013
01048023	L810431-450
01048051	N03333A00
01048054	29012330
01048055	694044B01
01048056	01NC9965HC
01048057	01NC9966N1
01048065	685670-93A
01048133	N03359A03
01048136	544086-93
01048147	ST AD
01048152	L850636-001
01048153	686425-79A
01048168	P01120531B
01048169	P01120526B
01048170	01NC4564
01048198	L860088-001
01048200	X04560A01
01048218	686383B00
01048229	688784B00
01048231	694341G00
01048236	689313C00
01048240	694075F00
01048252	LEL2175-000
01048255	RE3A4121-CFG
01048295	X04152A04
01048318	686850-93A
01048328	TRIAD2-CFG
01048331	30480214
01048336	01NC6994-CAP
01048337	01NC3989PN
01048346	LU78315-003
01048349	P01304215
01048357	TRAVAUXINTE~1
01048361	LEL1557-008
01048362	LEL2149-003
01048365	L066117-000
01048367	TRAVAUXINTE~1
01048399	621735-54
01048400	621736-54
01048408	01NC9961
01048410	01NC9961
01048425	P01120593
01048427	TRAVAUXINTE~1
01048430	TRAVAUXINTE~1
01048481	005711C03
01048487	SARTUS BLOC~1
01048489	SHUN1543
01048492	Y00566B16
01048496	685464-49A
01048497	685823-36A
01048498	689998A00
01048499	693015A00
01048503	P01120452
01048506	TRI57831
01048521	687049-96A
01048524	694587B00
01048527	L959419-004
01048589	694183A00
01048592	694882G00
01048596	N03743C00
01048649	694351F01
01048650	694858B00
01048665	01NC9965HD
01048666	01NC9966N31
01048667	01NC9969A
01048669	L860010-004
01048671	01NC9980
01048673	DSTS-CFG
01048675	01NC9966N1
01048676	01NC9966N21
01048677	01NC9966N1
01048678	01NC9969A
01048685	TRAVAUXINTE~1
01048690	BR42-BA2
01048698	P01105102C
01048702	P01380500
01048714	P01120594
01048718	MCT9002310
01048749	694041A00
01048781	TRAVAUXINTE~1
01048787	TRAVAUXINTE~1
01048804	TRAVAUXINTE~1
01048806	TRAVAUXINTE~1
01048814	P01103076
01048818	P01102188
01048831	CADIDXD-CFG
01048848	P01654823
01048861	LM43022-004
01048863	L300130-500
01048865	LNT0800-999
01048891	677864B57
01048893	686548-54A
01048894	694044B01
01048897	01NC9966N11
01048898	01NC9965HC
01048901	STAYAC10013~1
01048905	STAYAC100145
01048908	P01120538L
01048913	STAYAC10016~1
01048918	TRAVAUXINTE~1
01048920	686178A00
01048925	10509596
01048932	P01296024
01048952	P01126505A
01048969	TRAVAUXINTE~1
01048996	L860635-004
01049007	LEL0184-001
01049009	685671-93A
01049021	L810431-650
01049033	01NC9965D
01049041	P01651010A
01049043	P01102036B
01049062	20860221
01049067	LEL0224-016
01049073	P01106120G
01049076	TRAVAUXINTE~1
01049078	L968994-001
01049097	622785E73
01049099	01NC9965D
01049100	01NC9965D
01049101	01NC9968D2
01049103	STEP402-044~5
01049119	X04753C00
01049120	694151L00
01049172	2317988
01049173	ALC785423
01049185	TRAVAUXINTE~1
01049212	TRAVAUXINTE~1
01049216	TRAVAUXINTE~1
01049241	01NC9960A
01049243	01NC9966N1
01049244	01NC9966N11
01049249	692438B00
01049253	P01120538G
01049254	P01120538F
01049261	695719C00
01049270	LU77978-001
01049277	PDV-CFG
01049282	L969901-002
01049283	L917940-001
01049285	L968994-001
01049299	L969093-001
01049300	01NC6994-CAP
01049303	L969901-002
01049304	L917940-001
01049317	2017420
01049346	01NC9980
01049348	01NC8550
01049349	TRAVAUXINTE~1
01049352	TRAVAUXINTE~1
01049354	01NC9966N11
01049355	01NC9965HA
01049356	01NC9966N1
01049357	01NC9966N1
01049366	LEL1883-000
01049367	L066117-000
01049368	L078430-000
01049369	683429-51
01049372	N01413A00
01049375	686470A00
01049390	JVRC8743
01049391	N01394A00
01049392	N03238A00
01049394	2026243
01049397	688922D03
01049398	688922D03
01049399	8283322001
01049404	BRV1H-TV
01049405	P01102187
01049407	P01120083E
01049408	363913Q76
01049411	N01421A02
01049412	N04145A00
01049413	SHUN1225
01049415	TRAVAUXINTE~1
01049416	TRAVAUXINTE~1
01049417	LEXPCAP-000
01049419	L860700-001
01049420	L917940-001
01049421	L917940-001
01049423	L969901-002
01049443	L969145-001
01049444	L959677-001
01049453	N02975A00
01049455	L225298-999
01049458	L969232-001
01049459	01NC9965D
01049484	577666B93A
01049507	P01654250
01049538	S2-CFG
01049562	01NC9971
01049565	L860011-002
01049568	L968802-002
01049581	L860700-001
01049584	622702-90
01049588	01NC4564
01049593	X04898A00
01049596	X04896A00
01049601	20870214
01049610	L810431-380
01049611	L810431-550
01049676	L860463-001
01049679	L969469-002
01049684	L917940-001
01049701	N00378A00
01049702	X04529D00
01049722	TRIAD2-CFG
01049730	BRASAGE-VAGUE
01049731	L330114-503
01049737	PDV-CFG
01049751	LEL2176-002
01049781	622785E73
01049823	TRI57827
01049825	005013P76
01049826	577960A00
01049827	624700A93
01049834	2023380
01049835	547039-51
01049836	685823-36A
01049838	MCT9001506
01049853	01NC9980
01049854	01NC9966D
01049855	01NC9966D
01049858	01NC9969A
01049860	01NC9966N11
01049861	01NC9965D
01049871	01NC9966N11
01049872	01NC9965HC
01049873	01NC9965HE
01049874	01NC9966D
01049876	01NC9966D
01049877	01NC9966D
01049889	DSTS-CFG
01049897	686460A79A
01049905	622779G79
01049906	TCG6-CFG
01049908	TCGX2-CFG
01049931	TRAVAUXINTE~1
01049934	TRAVAUXINTE~1
01049936	TRAVAUXINTE~1
01049940	TRAVAUXINTE~1
01049951	01NC9966N21
01049952	01NC9968D2
01049953	01NC9968D2
01049954	8900006
01049963	TRAVAUXINTE~1
01049969	622779G79
01049970	624175A90
01049975	P01379634
01049980	TRIAD2-CFG
01049990	20875193
01049992	TRAVAUXINTE~1
01050004	LU77427-003
01050006	LU77400-014
01050012	L917940-001
01050018	L810430-550
01050019	L810431-500
01050020	L810431-600
01050024	L810430-001
01050027	01NC9965D
01050028	01NC9965D
01050029	01NC9965D
01050030	01NC9965D
01050031	01NC9966N1
01050032	01NC9966N21
01050033	01NC9966N1
01050034	01NC9969A
01050035	01NC9966N11
01050041	X04395A00
01050046	544072-19
01050047	544078-51
01050101	L917940-001
01050103	L917940-001
01050104	L969419-001
01050109	L917940-003
01050149	CADIDH-CFG
01050150	L341199-123
01050151	DSTS-CFG
01050158	L618417-060
01050164	DSTS-CFG
01050165	DSTS-CFG
01050194	PDV-CFG
01050195	L810430-250
01050196	CADIDH-CFG
01050214	01NC9966N1
01050215	01NC9969A
